x,CDF(x)
-4.01,3.03593739266183e-05
-4.0099,3.03722341287532e-05
-4.0098,3.03850994887347e-05
-4.0097,3.03979700085026e-05
-4.0096,3.04108456899975e-05
-4.0095,3.04237265351608e-05
-4.0094,3.04366125459346e-05
-4.0093,3.04495037242614e-05
-4.0092,3.04624000720845e-05
-4.0091,3.0475301591348e-05
-4.009,3.04882082839966e-05
-4.0089,3.05011201519755e-05
-4.0088,3.05140371972308e-05
-4.0087,3.05269594217093e-05
-4.0086,3.05398868273584e-05
-4.0085,3.05528194161261e-05
-4.0084,3.05657571899611e-05
-4.0083,3.05787001508129e-05
-4.0082,3.05916483006316e-05
-4.0081,3.06046016413679e-05
-4.008,3.06175601749732e-05
-4.0079,3.06305239034e-05
-4.0078,3.06434928286007e-05
-4.0077,3.06564669525289e-05
-4.0076,3.06694462771388e-05
-4.0075,3.06824308043854e-05
-4.0074,3.0695420536224e-05
-4.0073,3.07084154746109e-05
-4.0072,3.07214156215029e-05
-4.0071,3.07344209788579e-05
-4.007,3.07474315486337e-05
-4.0069,3.07604473327895e-05
-4.0068,3.07734683332848e-05
-4.0067,3.07864945520801e-05
-4.0066,3.0799525991136e-05
-4.0065,3.08125626524145e-05
-4.0064,3.08256045378776e-05
-4.0063,3.08386516494889e-05
-4.0062,3.08517039892114e-05
-4.0061,3.08647615590099e-05
-4.006,3.08778243608493e-05
-4.0059,3.08908923966956e-05
-4.0058,3.09039656685149e-05
-4.0057,3.09170441782745e-05
-4.0056,3.09301279279422e-05
-4.0055,3.09432169194863e-05
-4.0054,3.09563111548761e-05
-4.0053,3.09694106360815e-05
-4.0052,3.09825153650731e-05
-4.0051,3.09956253438219e-05
-4.005,3.10087405742999e-05
-4.0049,3.10218610584797e-05
-4.0048,3.10349867983346e-05
-4.0047,3.10481177958384e-05
-4.0046,3.10612540529658e-05
-4.0045,3.10743955716923e-05
-4.0044,3.10875423539939e-05
-4.0043,3.11006944018471e-05
-4.0042,3.11138517172293e-05
-4.0041,3.11270143021188e-05
-4.004,3.11401821584942e-05
-4.0039,3.11533552883349e-05
-4.0038,3.1166533693621e-05
-4.0037,3.11797173763337e-05
-4.0036,3.1192906338454e-05
-4.0035,3.12061005819644e-05
-4.0034,3.12193001088477e-05
-4.0033,3.12325049210876e-05
-4.0032,3.12457150206681e-05
-4.0031,3.12589304095744e-05
-4.003,3.12721510897919e-05
-4.0029,3.12853770633073e-05
-4.0028,3.12986083321072e-05
-4.0027,3.13118448981795e-05
-4.0026,3.13250867635126e-05
-4.0025,3.13383339300957e-05
-4.0024,3.13515863999184e-05
-4.0023,3.13648441749712e-05
-4.0022,3.13781072572452e-05
-4.0021,3.13913756487326e-05
-4.002,3.14046493514254e-05
-4.0019,3.14179283673173e-05
-4.0018,3.1431212698402e-05
-4.0017,3.14445023466741e-05
-4.0016,3.1457797314129e-05
-4.0015,3.14710976027626e-05
-4.0014,3.14844032145718e-05
-4.0013,3.14977141515538e-05
-4.0012,3.15110304157065e-05
-4.0011,3.15243520090291e-05
-4.001,3.15376789335209e-05
-4.0009,3.15510111911819e-05
-4.0008,3.15643487840131e-05
-4.0007,3.1577691714016e-05
-4.0006,3.15910399831929e-05
-4.0005,3.16043935935466e-05
-4.0004,3.16177525470808e-05
-4.0003,3.16311168457999e-05
-4.0002,3.16444864917089e-05
-4.0001,3.16578614868135e-05
-4,3.167124183312e-05
-3.9999,3.16846275326356e-05
-3.9998,3.16980185873681e-05
-3.9997,3.1711414999326e-05
-3.9996,3.17248167705185e-05
-3.9995,3.17382239029554e-05
-3.9994,3.17516363986474e-05
